Branch Name,Address,Province,Type,Agent
ISMAIL FOREGIN EXCHANGE BUREAU  ,"34 Regent Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
ISMAIL FX MONEY TRANSFER,"40 Siaka Steven Street, Freetown/Sierra Leone ",WESTERN AREA,URBAN(FREETOWN),
SAAMAM DRUG STORE ,"5 Sir Samuel Lewis Road, Aberdeen, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Hannismu Drugs store,"1 George Brook Dwarzark,Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Sarrah Drug Store,"106 Regent Road Lumly,Malama, Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
JayBam Tailoring,"7A Signal Hill Road Off  Congo Cross, Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
WURIE ENTERPRISE,"2 Godrich Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
ELECTRO MOBILE INVESTMENT ,"31 Wilberforce Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
MUFASON DRUG STORE,"16 Ogoo Farm Main Penusular Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
DEYAAR INVESTMENT CO.LTD DRUG STORE,"1B Ogoo Farm Main Penisular Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
PEOPLES PHARMACY(PZ),"18 Garrisson Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
FAMS ENTERPRISE,"3 Cassava Farm Juba Hill Junction, Freetown, Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
D LAST SON INVESTMENT,"1 Hennesson Kingtom, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
SULRA DABA DRUG STORE & COMESTICS,"15 Hannah Benka Coker Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
PEOPLE’S PHARMACY,"122 Pademba Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
DAVIES PHOTOCOPY CENTER,"120 Circular Road,Model, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
UNITED BUSINESS CENETER,"49 Jomo Kenyatta RD, New England  Ville,Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
RAPHA TRADING ENTERPRISE,"55A Freetown Lumbly, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
KAY SPOT ENTERPRISE,"163 Circular Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
JUNITA PHARMACY,"34 Campbull Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
MUSIDAL DRUG STORE,"8 Smythe Street Congo Market, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
STAR AFRIK COMPANY LTD,"84 Pademba Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
ISMAIL FX MONEY TRANSFER,"9D Howe Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
KURAKO FOREGIN  EXCHANGE BUREAU,"63 Godrich Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
KAI PAY SOLUTIONS,"7 Sani Abacha Street, Freetowm/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
KAMATANTEH PHARMACY,"5 Peterson Street, Freetown, Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
LIFE CARE DRUG STORE ENTERPRISE,"96 Kissy Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
PEOPLE’S  CHEMIST ,"104 Fourahbay Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
BAPPA-PATEH ENTERPRISE,"29 Personnage Street, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Sellah Drug Store,"77 Kissy by pass road, Lowcost, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
EDAMIA PHARMACEUTICAL,"2 Westgate Garage, Kissy Dockyard, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
MARIAMA ENTERPRISE,"20 Mellon Street, Wellington, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
MARAMPA MASANBONY  DRUG STORE,"82 Kissy by pass Road, Old Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
BLESSED ALPHA ENTERPRISE,"30C Race Course Road, Up Gun, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
BAIZAH INDUSTRIAL,"209 Fourahbay Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
AGIE SOLE ENTERPRISE,"155 Kissy Road, Freetown, Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
LB DRUG STORE,"359 Bai Bureh Road, Freetown/ Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
E & S Enterprise,"37 Bai Burah Road,Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Well Quick Drug Store,"28 Robis Road K-Step,Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Commision Drug Store,"164 Bai Bureh Road, Portee,Freetwon/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Med Amie Enterprise,"30 Main Road Gassama Street, Calabatown,Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
Jalika's Drug Store,"3 Boil Street, Bombay,Freetown/Sierra Leone",WESTERN AREA,URBAN(FREETOWN),
SALAM INVESTMENT,"Fulla Mosque, Devil hole, Waterloo highway, Freetown/ Sierra Leone",WESTERN AREA,RURAL,
BINTA ENTERPRISE,"555 Junction, Waterloo, Freetown/ Sierra Leone",WESTERN AREA,RURAL,
JANNAT INVESTMENT,Deep Eye Water Junction. Freetown/ Sierra Leone,WESTERN AREA,RURAL,
C.J KALYANKEH DRUG STORE,"29 Jui Junction, Freetown/ Sierra Leone",WESTERN AREA,RURAL,
C.A.J PHARMACY,"46 Main Motor Road, Waterloo Freetown/ Sierra Leone",WESTERN AREA,RURAL,
RAM & BROTHERS DRUG  STORE  & COMESTICS ENTERPRISE,"555 Lorry Park Waterloo, Freetown/ Sierra Leone",WESTERN AREA,RURAL,
Leigh and Sons Drug Store,"54 Main Motor Road Waterloo, Bassatown,Freetown/Sierra Leone",WESTERN AREA,RURAL,
ABDRED DRUG Store,"44 Upper New York, Yams Farm,Freetown/Sierra Leone",WESTERN AREA,RURAL,
Imao Enterprise,"1 Liverpool Street,Tombo Park,Waterloo",WESTERN AREA,RURAL,
BINTA ENTERPRISE,"Tombo Pepper Junction, Tombo/Sierra Leone",WESTERN AREA,RURAL,
SALLCHRISS DRUG STORE,"42 Dakiyai Street, Kenema/ Sierra Leone",,,KENEMA AGENT
PEOPLE’S PHARMACY,"45e Fenton Road, BO/ Sierra Leone",,,BO AGENT
Zackharia Enterprise,Hospital Junction Njala Mokonde,,,BO AGENT
TAMARANEH & SONS ENTERPRISE,"Empire Junction / Moriba Town Sierra Rutile, Sierra Leone",,,BO AGENT
FULLAMANSA INVESTMENT,"12 Siaki Bockarie Street,  Opposite Africell Office, Kabala Town, Kabala/ Sierra Leone",,,KABALA AGENT
FULLAMANSA INVESTMENT,"6 Seria Road Opposite RC School Mongo, Bendguma Falaba, District/ Sierra Leone",,,FALABA AGENT
YAYAH I J DRUG STORE,"4 Rogbane Road, Makeni/ Sierra Leone",,,MAKENI AGENT
WE YONE SAHID ENTERPRISE,"1 Hospital Road, Port Loko/ Sierra Leone",,,PORT LOKO AGENT
MORNING SIDE ENTERPRISE,"1 Enerst Bai Koroma Street, Lungi Airport Junction/ Sierra Leone",,,PORT LOKO AGENT
PEOPLES PHARMACY,"Barracks Road, Kambia/ Sierra Leone",,,KAMBIA AGENT